11:16	铜陵有色	2.74/8860	
11:16	华锐风电	2.74/3855	
11:16	福田汽车	2.81/3504	
11:15	兴业矿业	9.80/6054	
11:15	中弘股份	2.81/3231	
11:15	中弘股份	2.81/5358	
11:15	民丰特纸	12.36/3028	
11:15	中弘股份	2.81/3954	
11:15	中弘股份	2.81/3728	
11:15	庞大集团	2.88/12667	
11:15	中弘股份	2.81/4438	
11:15	建设银行	5.18/3073	
11:15	中弘股份	2.80/12892	
11:15	中国建筑	6.80/13502	
11:15	中弘股份	2.80/4203	
11:14	中国中冶	4.24/4163	
11:14	庞大集团	2.88/3772	
11:14	庞大集团	2.88/5346	
11:14	中弘股份	2.80/8888	
11:14	梅雁吉祥	5.54/9382	
11:14	庞大集团	2.88/6936	
11:14	中弘股份	2.79/3955	
11:14	庞大集团	2.88/3877	
11:14	中国建筑	6.79/5839	
11:14	中弘股份	2.78/12954	
11:14	美好集团	4.06/5001	
11:14	中弘股份	2.78/9016	
11:14	建设银行	5.18/5401	
11:14	庞大集团	2.88/3328	
11:14	庞大集团	2.88/5333	
11:14	华锐风电	2.74/3326	
11:14	中弘股份	2.78/4920	
11:14	中弘股份	2.78/9684	
11:14	中弘股份	2.77/24175	
11:14	中弘股份	2.77/4074	
11:14	庞大集团	2.88/7029	
11:13	中弘股份	2.76/20217	
11:13	中弘股份	2.76/3432	
11:13	庞大集团	2.88/8694	
11:13	中弘股份	2.76/12667	
11:13	中弘股份	2.76/6288	
11:13	中弘股份	2.76/10050	
11:13	庞大集团	2.89/5007	
11:13	庞大集团	2.89/9892	
11:13	华锐风电	2.76/3445	
11:13	中国中铁	8.69/3673	
11:13	华锐风电	2.76/4354	
11:13	庞大集团	2.89/8055	
11:13	华锐风电	2.76/21008	
11:12	华锐风电	2.76/3283	
11:12	铜陵有色	2.73/8192	
11:12	华锐风电	2.76/5706	
11:12	巨龙管业	24.68/4500	
11:12	庞大集团	2.88/5068	
11:12	国电电力	3.01/3228	
11:12	巨轮智能	3.89/5435	
11:12	华锐风电	2.75/9960	
11:12	庞大集团	2.88/8175	
11:12	华锐风电	2.75/4799	
11:12	新钢股份	3.00/5298	
11:12	华锐风电	2.75/5599	
11:12	庞大集团	2.89/10736	
11:12	梅雁吉祥	5.53/4231	
11:12	华锐风电	2.75/10582	
11:11	*ST钒钛	2.51/5844	
11:11	华锐风电	2.74/11336	
11:11	福田汽车	2.81/3978	
11:11	华锐风电	2.74/4248	
11:11	华锐风电	2.73/15247	
11:11	福田汽车	2.81/4172	
11:11	华锐风电	2.72/16084	
