14:51	中国建筑	7.87/9014	
14:51	中国建筑	7.87/4852	
14:51	君正集团	5.24/5339	
14:51	中体产业	19.99/3129	
14:51	中国中冶	4.30/7860	
14:51	中国建筑	7.87/3000	
14:51	紫金矿业	3.36/16994	
14:51	好当家	4.70/7223	
14:51	农业银行	3.17/10008	
14:51	东北证券	13.45/4010	
14:51	中国建筑	7.87/4492	
14:51	紫金矿业	3.36/7043	
14:51	紫金矿业	3.36/3094	
14:51	中国建筑	7.87/7151	
14:51	中国建筑	7.88/25546	
14:51	紫金矿业	3.36/5271	
14:51	中国铝业	3.98/8742	
14:51	中国银行	3.38/4005	
14:51	中国银行	3.38/3958	
14:51	东旭光电	13.56/4090	
14:51	中天城投	6.54/6892	
14:51	亚威股份	15.78/3238	
14:50	中国建筑	7.88/7393	
14:50	皖维高新	4.84/3777	
14:50	黑猫股份	8.61/3712	
14:50	冠福股份	5.85/3205	
14:50	中国重工	6.53/7637	
14:50	京东方Ａ	2.66/8504	
14:50	农业银行	3.17/11944	
14:50	国栋建设	8.60/3306	
14:50	京东方Ａ	2.66/7383	
14:50	山东海化	6.00/3000	
14:50	农业银行	3.17/5088	
14:50	农业银行	3.17/5022	
14:50	安徽水利	9.59/3021	
14:50	马钢股份	2.80/6984	
14:50	武昌鱼	19.50/4955	
14:50	国元证券	24.24/5911	
14:50	海虹控股	55.93/2015	
14:50	京东方Ａ	2.66/3538	
14:50	黑猫股份	8.61/3595	
14:50	智慧农业	6.00/5636	
14:50	海伦哲	8.64/4167	
14:50	中国建筑	7.89/33361	
14:50	四川长虹	4.28/3157	
14:49	南山铝业	3.15/3451	
14:49	广西广电	15.66/3583	
14:49	农业银行	3.17/8003	
14:49	紫金矿业	3.35/11558	
14:49	紫金矿业	3.35/10410	
14:49	中航地产	10.50/8960	
14:49	国中水务	6.61/10638	
14:49	中国西电	5.48/3005	
14:49	三一重工	6.05/3947	
14:49	广西广电	15.64/3214	
14:49	紫金矿业	3.35/10861	
14:49	轻纺城	6.90/3626	
14:49	中国建筑	7.89/3542	
14:49	紫金矿业	3.35/10187	
14:49	黑猫股份	8.61/7638	
14:49	亿晶光电	7.65/3009	
14:49	华夏银行	10.77/4315	
14:49	福田汽车	2.79/5554	
14:49	中国建筑	7.90/5665	
14:49	中国建筑	7.90/3444	
14:49	黑猫股份	8.61/3789	
14:49	农业银行	3.17/3001	
14:49	恒源煤电	7.18/3098	
14:49	国中水务	6.63/10244	
14:49	中国铝业	3.99/3024	
