代码	名称	涨幅%%	现价	流通市值	流通股本(万)	市盈(动)	细分行业	当日___超大单	5分钟___涨幅%%	换手%%	今开	最高	最低	昨收	活跃度	总金额	量比	涨跌	
600638	新黄浦	-0.33	15.03	         84.34亿	      56116.39	    52.22	区域地产	 -414.8万	0.06	          0.83	15.13	15.17	14.83	15.08	    907	70218072	  0.60	-0.05	
600622	嘉宝集团	1.04	16.55	         85.12亿	      51430.37	    42.34	区域地产	  346.8万	0.12	          1.50	16.38	16.71	16.24	16.38	   1253	127587304	  1.06	0.17	
600568	中珠医疗	0.08	24.02	        121.69亿	      50660.44	    69.67	区域地产	  472.6万	-0.12	          0.58	24.03	24.38	23.88	24.00	    796	70880328	  0.54	0.02	
600533	栖霞建设	-0.73	5.42	         56.91亿	     105000.00	   120.02	区域地产	 -711.1万	0.37	          1.61	5.44	5.46	5.35	5.46	   1582	91666336	  0.65	-0.04	
600503	华丽家族	-0.80	9.98	        155.96亿	     156269.06	    92.28	区域地产	  -6738万	0.10	          2.94	10.02	10.05	9.83	10.06	   2666	456116608	  0.97	-0.08	
600466	蓝光发展	0.38	7.87	         68.94亿	      87593.92	   407.37	区域地产	 -134.7万	-0.12	          0.91	7.84	7.90	7.77	7.84	   1292	62356576	  0.75	0.03	
600376	首开股份	-0.25	11.86	        265.90亿	     224201.25	    16.31	区域地产	  267.4万	-0.08	          0.33	11.90	11.95	11.82	11.89	   1269	87785208	  0.39	-0.03	
600340	华夏幸福	0.55	27.58	        729.70亿	     264575.94	    10.30	区域地产	 -826.9万	0.10	          0.38	27.50	27.60	27.36	27.43	   2403	272910336	  0.84	0.15	
600325	华发股份	0.00	13.70	        111.94亿	      81704.56	    23.27	区域地产	  -1548万	-0.14	          1.26	13.72	13.81	13.56	13.70	   1909	140490272	  0.46	0.00	
600322	天房发展	1.67	6.10	         67.45亿	     110570.00	--  	区域地产	 -382.6万	-0.65	          1.39	5.98	6.24	5.96	6.00	   1360	94028392	  0.92	0.10	
600266	北京城建	-0.92	12.94	        196.30亿	     151704.00	    23.31	区域地产	  -1743万	-0.23	          0.62	13.03	13.06	12.86	13.06	   1498	122156944	  0.54	-0.12	
600246	万通地产	0.00	5.87	         71.43亿	     121680.00	    22.76	区域地产	   0.00	0.00	          0.00	--  	--  	--  	5.87	      1	0	  0.00	0.00	
600239	云南城投	0.00	5.78	         61.87亿	     107045.79	--  	区域地产	  -84.2万	0.17	          0.65	5.75	5.81	5.72	5.78	    841	40051352	  0.50	0.00	
600225	天津松江	-0.93	6.39	         39.78亿	      62255.28	--  	区域地产	 -258.4万	0.00	          0.76	6.45	6.48	6.33	6.45	    823	30078376	  0.57	-0.06	
600223	鲁商置业	-1.07	5.56	         55.65亿	     100096.79	    84.86	区域地产	 -823.9万	0.00	          0.96	5.61	5.63	5.53	5.62	    877	53722192	  0.69	-0.06	
600185	格力地产	0.00	6.28	        101.58亿	     161752.20	    28.43	区域地产	 -148.1万	0.00	          0.43	6.28	6.30	6.25	6.28	   1220	43167208	  0.60	0.00	
600159	大龙地产	0.55	5.48	         45.48亿	      83000.32	    25.07	区域地产	  483.2万	0.00	          1.95	5.43	5.54	5.38	5.45	   1554	88240848	  0.65	0.03	
600113	浙江东日	-1.63	19.26	         61.36亿	      31860.00	    59.55	区域地产	  -6909万	0.36	          8.88	19.31	19.47	18.94	19.58	   2558	542012992	  0.54	-0.32	
600095	哈高科	2.12	11.07	         39.99亿	      36126.35	--  	区域地产	  369.9万	0.09	          2.54	10.88	11.15	10.82	10.84	   1433	100982768	  1.55	0.23	
600094	大名城	-0.76	9.10	        164.97亿	     181283.69	    32.14	区域地产	  -1253万	0.00	          0.54	9.18	9.18	9.07	9.17	   1531	88362392	  0.47	-0.07	
600053	九鼎投资	-2.44	48.46	        210.09亿	      43354.07	    63.30	区域地产	  -1650万	0.12	          1.02	49.26	49.50	48.30	49.67	   2045	215674832	  0.55	-1.21	
600052	浙江广厦	0.68	7.43	         64.77亿	      87178.90	     6.62	区域地产	   1168万	-0.13	          2.96	7.37	7.72	7.35	7.38	   1917	194291392	  1.20	0.05	
002314	南山控股	-0.11	8.96	         66.09亿	      73764.14	    20.39	区域地产	  -1073万	0.00	          1.84	8.94	9.10	8.83	8.97	   2673	121434376	  0.52	-0.01	
002305	南国置业	0.36	5.61	         66.82亿	     119111.35	  1015.73	区域地产	  -65.3万	0.00	          0.37	5.58	5.63	5.55	5.59	    763	24961166	  0.43	0.02	
002244	滨江集团	-0.29	6.79	        155.86亿	     229546.00	    15.67	区域地产	  310.9万	0.14	          0.47	6.79	6.84	6.75	6.81	   2171	73273712	  0.57	-0.02	
002208	合肥城建	-0.95	18.72	         59.76亿	      31923.91	    42.74	区域地产	  399.2万	-0.21	          2.16	18.92	18.98	18.60	18.90	   2252	129093536	  0.82	-0.18	
002077	大港股份	-0.55	19.74	         49.74亿	      25199.25	   536.76	区域地产	 -175.3万	0.05	          0.53	19.92	20.00	19.60	19.85	    936	26683356	  0.39	-0.11	
002016	世荣兆业	3.82	10.61	         68.55亿	      64609.55	    32.11	区域地产	   2830万	0.09	          3.85	10.30	10.86	10.18	10.22	   3405	262158912	  1.18	0.39	
000981	银亿股份	0.91	9.99	        257.17亿	     257431.56	    49.17	区域地产	 -151.1万	0.00	          0.38	9.89	10.10	9.88	9.90	   1902	98907896	  0.97	0.09	
000979	中弘股份	0.00	2.74	        126.26亿	     460794.25	   391.34	区域地产	 -610.3万	0.36	          0.73	2.74	2.74	2.72	2.74	   1755	91720696	  0.77	0.00	
000965	天保基建	-0.59	6.79	         68.51亿	     100893.71	    30.70	区域地产	 -795.7万	0.00	          1.04	6.83	6.86	6.68	6.83	   1546	71168528	  1.00	-0.04	
000931	中 关 村	-0.47	8.44	         56.38亿	      66797.85	--  	区域地产	 -594.0万	0.11	          0.85	8.49	8.50	8.37	8.48	   1218	47621216	  0.62	-0.04	
000926	福星股份	-0.33	12.10	         86.02亿	      71088.28	    16.88	区域地产	  -1226万	0.08	          0.87	12.16	12.19	12.02	12.14	   1733	75020216	  0.62	-0.04	
000897	津滨发展	1.56	4.55	         73.58亿	     161720.06	   149.64	区域地产	  503.2万	0.44	          1.02	4.48	4.55	4.46	4.48	   1989	74115840	  0.89	0.07	
000863	三湘股份	-1.51	9.79	         89.18亿	      91093.70	    14.69	区域地产	 -612.4万	-0.10	          1.09	9.88	9.91	9.67	9.94	   2055	97242528	  1.29	-0.15	
000838	财信发展	-0.91	9.76	         61.66亿	      63173.14	    54.11	区域地产	 -548.7万	0.00	          1.52	9.78	9.84	9.70	9.85	   2396	93478736	  1.02	-0.09	
000809	铁岭新城	0.19	5.27	         43.47亿	      82479.13	--  	区域地产	  327.2万	-0.56	          3.26	5.25	5.45	5.20	5.26	   2232	142742880	  0.98	0.01	
000732	泰禾集团	-1.30	18.24	        226.73亿	     124304.54	    14.65	区域地产	 -340.2万	0.16	          0.57	18.49	18.51	18.07	18.48	   2226	127992784	  0.98	-0.24	
000718	苏宁环球	4.90	8.99	        171.74亿	     191035.81	    78.60	区域地产	   4282万	-0.11	          2.31	8.57	9.18	8.55	8.57	   3689	392023200	  2.84	0.42	
000691	ST亚太	-1.31	9.03	         26.23亿	      29048.63	--  	区域地产	 -350.5万	-0.22	          1.28	9.18	9.18	8.94	9.15	    790	33792112	  0.59	-0.12	
000671	阳 光 城	0.00	6.29	        203.97亿	     324271.28	    74.42	区域地产	   19.1万	0.00	          0.19	6.29	6.30	6.22	6.29	    940	39245912	  0.47	0.00	
000668	荣丰控股	1.15	24.71	         36.25亿	      14668.83	--  	区域地产	 -292.2万	-0.04	          1.86	24.40	24.76	23.99	24.43	   1465	66692360	  1.16	0.28	
000656	金科股份	-2.45	5.18	        195.51亿	     377430.88	    16.81	区域地产	  -1.45亿	0.00	          4.17	5.25	5.40	5.15	5.31	   4587	823014528	  0.41	-0.13	
000631	顺发恒业	-1.93	5.59	        121.10亿	     216629.63	    28.89	区域地产	  -2372万	0.00	          0.71	5.66	5.73	5.55	5.70	   1646	85874152	  0.66	-0.11	
000609	绵石投资	--  	14.31	         38.12亿	      26641.78	    15.37	区域地产	--  	--  	          0.00	--  	--  	--  	14.31	      0	0	  0.00	--  	
000608	阳光股份	0.13	7.47	         56.01亿	      74977.18	--  	区域地产	 -510.7万	-0.13	          1.04	7.48	7.52	7.33	7.46	    997	57689384	  0.53	0.01	
000573	粤宏远Ａ	-0.37	7.99	         49.71亿	      62217.32	   138.98	区域地产	   59.8万	0.00	          1.38	8.02	8.02	7.93	8.02	   1822	68472960	  0.57	-0.03	
000567	海德股份	5.99	43.35	         65.18亿	      15036.08	  2857.49	区域地产	  -9.08亿	0.97	         30.80	44.99	44.99	42.75	40.90	   3082	2053096192	  3.78	2.45	
000540	中天城投	0.00	6.75	        264.92亿	     392473.03	     9.41	区域地产	   87.8万	0.29	          0.51	6.74	6.75	6.70	6.75	   2684	135465632	  0.62	0.00	
000537	广宇发展	0.11	8.84	         45.32亿	      51270.33	    24.96	区域地产	 -205.5万	0.00	          1.81	8.86	9.01	8.81	8.83	   1669	82712112	  0.64	0.01	
000534	万泽股份	-7.02	18.00	         88.43亿	      49128.78	    49.27	区域地产	  -7838万	0.84	          7.64	18.85	18.93	17.70	19.36	   4004	685356352	  1.44	-1.36	
000517	荣安地产	-0.84	4.70	        142.67亿	     303559.53	   415.97	区域地产	   67.6万	0.00	          0.67	4.70	4.87	4.68	4.74	   2396	96288440	  1.55	-0.04	
000514	渝 开 发	-0.13	7.96	         67.16亿	      84377.09	   636.29	区域地产	  146.4万	0.00	          1.85	7.96	8.15	7.84	7.97	   2316	125155048	  1.73	-0.01	
000506	中润资源	-0.26	7.78	         72.22亿	      92831.09	   905.01	区域地产	 -348.5万	0.00	          0.65	7.83	7.83	7.73	7.80	    949	46988784	  0.62	-0.02	
000502	绿景控股	0.80	23.81	         43.65亿	      18332.83	--  	区域地产	 -540.2万	-0.29	          1.14	23.66	23.91	23.51	23.62	    947	49454168	  0.77	0.19	
000029	深深房Ａ	--  	11.17	         99.60亿	      89166.00	    41.93	区域地产	--  	--  	          0.00	--  	--  	--  	11.17	      0	0	  0.00	--  	
000011	深物业A	-1.84	18.16	         31.94亿	      17586.25	--  	区域地产	  -7024万	-0.27	         16.03	18.65	18.77	17.82	18.50	   3952	514731840	  0.71	-0.34	
000006	深振业Ａ	-2.49	10.19	        137.07亿	     134515.14	    67.38	区域地产	  -4791万	0.00	          4.10	10.48	10.58	10.05	10.45	   3954	569092224	  0.55	-0.26	
600823	世茂股份	-0.13	7.57	        186.76亿	     246707.02	     7.29	全国地产	  259.2万	0.00	          0.33	7.54	7.59	7.52	7.58	   1203	62047112	  0.86	-0.01	
600791	京能置业	-0.12	8.57	         38.76亿	      45231.37	    55.06	全国地产	 -169.6万	-0.11	          1.95	8.59	8.73	8.50	8.58	   1142	75923920	  0.48	-0.01	
600748	上实发展	-0.72	11.00	        119.17亿	     108337.09	    37.84	全国地产	 -781.4万	-0.18	          0.59	11.09	11.14	10.90	11.08	   1237	70719752	  0.66	-0.08	
600708	光明地产	0.96	9.48	         48.62亿	      51286.85	    43.92	全国地产	   73.6万	-0.10	          1.05	9.37	9.53	9.36	9.39	   1642	51172836	  0.82	0.09	
600684	珠江实业	0.12	8.35	         59.39亿	      71121.72	    18.73	全国地产	 -982.5万	0.24	          1.51	8.34	8.43	8.29	8.34	   1263	89562880	  0.70	0.01	
600665	天地源	0.37	5.37	         46.40亿	      86412.25	--  	全国地产	   40.9万	-0.18	          0.86	5.33	5.41	5.31	5.35	    952	39916488	  0.69	0.02	
600657	信达地产	9.97	6.84	        104.26亿	     152426.05	    39.98	全国地产	   4859万	0.00	          9.18	6.43	6.84	6.40	6.22	   2346	940908992	  5.62	0.62	
600621	华鑫股份	0.00	11.93	         62.52亿	      52408.23	    21.98	全国地产	   0.00	0.00	          0.00	--  	--  	--  	11.93	      1	0	  0.00	0.00	
