代码	名称	涨幅%%	现价	流通市值	流通股本(万)	市盈(动)	细分行业	当日___超大单	5分钟___涨幅%%	换手%%	今开	最高	最低	昨收	活跃度	总金额	量比	涨跌	
600243	青海华鼎	-0.75	10.52	         24.92亿	      23685.00	--  	机床制造	 -436.1万	0.00	          1.64	10.58	10.64	10.38	10.60	   1107	40744104	  0.96	-0.08	
300441	鲍斯股份	-0.75	26.53	         22.25亿	       8385.12	   180.19	机床制造	  -1121万	0.15	          6.17	26.60	26.95	26.33	26.73	   2529	137261904	  0.58	-0.20	
300161	华中数控	--  	26.88	         42.03亿	      15637.24	--  	机床制造	--  	--  	          0.00	--  	--  	--  	26.88	      0	0	  0.00	--  	
002559	亚威股份	0.49	14.48	         44.58亿	      30787.19	    59.05	机床制造	  467.1万	-0.06	          0.97	14.42	14.52	14.35	14.41	    896	43160508	  0.78	0.07	
002520	日发精机	-0.07	14.11	         66.16亿	      46889.32	   146.40	机床制造	   -2.2万	0.00	          0.36	14.12	14.15	14.00	14.12	    692	23501112	  0.86	-0.01	
002248	华东数控	-1.49	13.23	         31.33亿	      23683.64	--  	机床制造	 -704.8万	-0.22	          2.03	13.40	13.48	13.20	13.43	   1512	64076952	  0.82	-0.20	
000837	秦川机床	-4.19	9.61	         46.27亿	      48149.48	--  	机床制造	  -9596万	0.52	         17.63	9.78	9.92	9.47	10.03	   4258	822296128	  2.30	-0.42	
000410	沈阳机床	-2.14	15.08	        111.57亿	      73982.52	--  	机床制造	  -4163万	0.00	          2.44	15.25	15.25	14.96	15.41	   3502	272131264	  1.09	-0.33	
600749	西藏旅游	-1.54	23.00	         43.50亿	      18913.78	--  	旅游景点	 -719.6万	-0.04	          2.71	23.15	23.40	22.65	23.36	   1974	118029208	  0.56	-0.36	
600593	大连圣亚	-2.24	41.43	         38.12亿	       9200.00	   770.70	旅游景点	 -738.8万	-0.04	          1.10	42.30	42.61	41.39	42.38	   1030	42171636	  0.76	-0.95	
600555	海航创新	0.00	6.88	         66.98亿	      97350.00	--  	旅游景点	  255.3万	-0.14	          2.10	6.84	6.94	6.80	6.88	   1770	140508752	  0.96	0.00	
600054	黄山旅游	1.37	17.03	         36.90亿	      21670.50	    36.32	旅游景点	  685.5万	-0.05	          3.22	16.83	17.12	16.63	16.80	   1519	117583872	  0.92	0.23	
300144	宋城演艺	-1.22	25.20	        278.23亿	     110408.70	    35.94	旅游景点	 -287.5万	-0.15	          0.54	25.43	25.43	25.04	25.51	   2432	149758080	  0.62	-0.31	
002159	三特索道	-1.13	27.12	         36.31亿	      13388.25	--  	旅游景点	  -62.2万	-0.29	          1.18	27.42	27.46	26.76	27.43	   1153	42608892	  1.05	-0.31	
002059	云南旅游	--  	8.56	         44.72亿	      52243.26	   100.19	旅游景点	--  	--  	          0.00	--  	--  	--  	8.56	      0	0	  0.00	--  	
002033	丽江旅游	3.17	15.97	         67.50亿	      42268.51	    29.08	旅游景点	   3279万	0.18	          4.84	15.44	15.98	15.37	15.48	   2794	323440864	  2.14	0.49	
000978	桂林旅游	-0.09	11.39	         41.01亿	      36003.44	   443.44	旅游景点	  -79.7万	-0.08	          0.80	11.40	11.43	11.34	11.40	    908	32795708	  0.56	-0.01	
000888	峨眉山Ａ	0.47	12.90	         67.96亿	      52682.57	    57.23	旅游景点	   0.00	0.07	          0.35	12.82	12.95	12.82	12.84	    794	23729632	  0.46	0.06	
000430	张家界	-0.96	12.42	         25.96亿	      20903.36	    56.85	旅游景点	  -77.9万	0.08	          1.66	12.50	12.54	12.26	12.54	   1134	42893792	  0.75	-0.12	
000069	华侨城Ａ	0.15	6.86	        419.96亿	     612182.38	    17.82	旅游景点	  864.6万	0.00	          0.19	6.83	6.86	6.81	6.85	   1675	79889464	  0.55	0.01	
603869	北部湾旅	-0.99	35.05	         25.54亿	       7287.29	   186.56	旅游服务	  437.6万	-0.11	          2.02	34.95	35.60	34.50	35.40	    913	51143352	  0.64	-0.35	
603199	九华旅游	-0.36	41.23	         30.07亿	       7294.43	    51.93	旅游服务	   0.00	-0.02	          0.95	41.25	41.37	41.03	41.38	    739	28611792	  0.88	-0.15	
603099	长白山	-0.32	18.47	         18.96亿	      10267.00	--  	旅游服务	  109.8万	-0.05	          1.44	18.43	18.55	18.27	18.53	    828	27225204	  0.94	-0.06	
601888	中国国旅	-0.22	44.87	        438.04亿	      97623.77	    19.79	旅游服务	 -535.4万	-0.02	          0.38	44.97	45.09	44.68	44.97	   1941	166319968	  1.46	-0.10	
600706	曲江文旅	-0.15	19.64	         34.94亿	      17790.86	    41.43	旅游服务	 -249.7万	0.05	          1.70	19.60	19.70	19.40	19.67	   1156	58947740	  0.71	-0.03	
600358	国旅联合	-1.53	10.32	         44.58亿	      43200.00	--  	旅游服务	 -807.3万	0.00	          2.62	10.48	10.53	10.22	10.48	   1898	116789744	  1.20	-0.16	
600138	中青旅	-0.34	20.81	        146.24亿	      70271.82	    23.67	旅游服务	 -684.0万	0.00	          0.69	20.88	20.95	20.72	20.88	   1892	100995824	  0.72	-0.07	
300178	腾邦国际	-1.50	19.70	        102.41亿	      51983.32	    70.17	旅游服务	  -5902万	0.45	          5.47	20.00	20.15	19.36	20.00	   3550	559855744	  2.21	-0.30	
002707	众信旅游	0.21	19.05	         66.51亿	      34913.39	   106.83	旅游服务	  157.3万	0.00	          0.81	19.00	19.09	18.90	19.01	   1204	53720704	  0.59	0.04	
002558	世纪游轮	--  	49.72	         32.02亿	       6439.64	    83.93	旅游服务	--  	--  	          0.00	--  	--  	--  	49.72	      0	0	  0.00	--  	
000802	北京文化	-0.59	20.24	         76.50亿	      37798.28	   719.12	旅游服务	 -490.7万	0.00	          0.86	20.36	20.37	19.96	20.36	   1767	65431692	  1.09	-0.12	
000796	凯撒旅游	-0.55	18.23	         44.85亿	      24601.33	   128.55	旅游服务	 -182.6万	0.00	          1.28	18.28	18.41	18.19	18.33	   1473	57431408	  0.57	-0.10	
000613	大东海A	-0.68	14.62	         38.84亿	      26564.56	 15474.25	旅游服务	  -20.9万	0.00	          1.36	14.73	14.78	14.36	14.72	   1039	52574160	  0.74	-0.10	
000610	西安旅游	0.74	16.33	         38.40亿	      23513.14	   522.23	旅游服务	 -385.1万	-0.36	          7.22	16.18	16.65	15.81	16.21	   3666	275097856	  0.93	0.12	
603598	引力传媒	-1.10	21.67	         21.10亿	       9736.00	   147.89	影视音像	 -767.1万	0.00	          3.21	21.74	21.92	21.30	21.91	   1410	67360528	  0.77	-0.24	
601929	吉视传媒	-0.87	4.58	        142.47亿	     311080.13	    42.33	影视音像	  -1224万	-0.21	          0.51	4.61	4.61	4.51	4.62	   1524	72951120	  0.66	-0.04	
601599	鹿港文化	-1.16	9.38	         65.93亿	      70287.59	    51.94	影视音像	 -212.8万	0.00	          1.11	9.45	9.50	9.33	9.49	   1422	73454112	  0.81	-0.11	
601595	上海电影	-0.55	39.94	         37.34亿	       9350.00	    60.74	影视音像	 -635.8万	0.07	          5.87	40.00	40.40	39.36	40.16	   2007	218539392	  0.75	-0.22	
600977	中国电影	-2.08	27.33	        127.63亿	      46700.00	    42.15	影视音像	  -6898万	-0.07	          3.33	27.80	27.90	27.13	27.91	   2583	427198976	  0.89	-0.58	
600959	江苏有线	-0.10	10.43	        145.62亿	     139617.81	    48.29	影视音像	 -319.7万	0.00	          0.37	10.43	10.44	10.33	10.44	   1193	53566656	  0.82	-0.01	
600936	广西广电	-0.94	13.70	         41.10亿	      30000.00	    60.00	影视音像	 -580.5万	0.00	          2.87	13.78	13.85	13.61	13.83	   1966	118045544	  0.64	-0.13	
600831	广电网络	-0.77	14.17	         79.84亿	      56343.85	    38.34	影视音像	 -619.6万	-0.07	          0.87	14.30	14.30	13.96	14.28	   1264	69079736	  1.02	-0.11	
600715	文投控股	-3.18	22.25	         99.79亿	      44851.19	    76.00	影视音像	  -3930万	0.22	          2.17	23.05	23.05	21.90	22.98	   1771	217409152	  1.68	-0.73	
600637	东方明珠	-0.48	24.92	        399.18亿	     160184.70	    25.59	影视音像	 -119.4万	-0.08	          0.48	25.00	25.05	24.67	25.04	   1645	190711552	  1.02	-0.12	
600576	万家文化	-1.96	18.50	         88.76亿	      47980.48	   160.51	影视音像	  -3376万	0.10	          3.48	18.75	18.85	18.22	18.87	   2388	307663296	  0.92	-0.37	
600136	当代明诚	-2.39	19.21	         46.31亿	      24105.49	   231.66	影视音像	 -765.0万	-0.05	          1.86	19.58	19.65	19.10	19.68	   1579	86663504	  0.55	-0.47	
600088	中视传媒	-1.66	24.27	         80.44亿	      33142.19	--  	影视音像	 -223.3万	-0.16	          0.58	24.56	24.68	24.20	24.68	    813	46770124	  0.68	-0.41	
600037	歌华有线	-0.36	16.68	        194.88亿	     116835.20	    28.64	影视音像	  -2295万	-0.05	          0.55	16.67	16.73	16.57	16.74	   1295	106725296	  0.79	-0.06	
300528	幸福蓝海	-1.36	37.03	         28.75亿	       7763.00	    86.59	影视音像	  -1381万	0.02	          7.51	37.50	37.56	36.60	37.54	   2984	215468144	  0.66	-0.51	
300426	唐德影视	-1.17	67.60	         35.22亿	       5210.16	    95.43	影视音像	 -299.2万	-0.14	          1.53	67.99	67.99	66.88	68.40	   1475	53744076	  0.83	-0.80	
300336	新文化	2.78	21.44	         95.84亿	      44702.21	    49.60	影视音像	   4015万	0.14	          3.51	20.73	21.62	20.72	20.86	   3259	334364448	  2.31	0.58	
300291	华录百纳	-0.09	22.96	        109.13亿	      47532.10	   102.02	影视音像	 -592.7万	0.00	          0.48	23.09	23.10	22.69	22.98	   1156	51880824	  0.97	-0.02	
300251	光线传媒	-0.46	10.86	        298.83亿	     275162.16	    49.55	影视音像	  -1149万	0.09	          0.38	10.87	10.89	10.78	10.91	   2361	113530304	  0.84	-0.05	
300133	华策影视	-0.94	13.65	        157.37亿	     115289.34	    43.91	影视音像	 -340.3万	-0.07	          0.38	13.75	13.78	13.59	13.78	   2071	59114852	  0.96	-0.13	
300027	华谊兄弟	--  	12.38	        233.99亿	     189005.27	    56.94	影视音像	--  	--  	          0.00	--  	--  	--  	12.38	      0	0	  0.00	--  	
002739	万达院线	-1.43	65.35	        265.32亿	      40600.00	    47.68	影视音像	  -2219万	0.00	          1.04	66.29	66.29	65.08	66.30	   3282	275771968	  1.00	-0.95	
002624	完美世界	-0.90	34.26	         95.36亿	      27834.59	    58.91	影视音像	 -180.7万	-0.02	          0.77	35.00	35.10	34.03	34.57	   1778	73445000	  0.41	-0.31	
002445	中南文化	-3.46	18.40	        113.11亿	      61471.35	   163.95	影视音像	  -1196万	-0.10	          1.90	18.71	18.74	18.00	19.06	   2913	214089712	  1.61	-0.66	
002343	慈文传媒	0.26	41.69	         91.59亿	      21968.92	    70.96	影视音像	 -232.5万	-0.02	          0.68	41.76	42.52	41.33	41.58	   1469	62551224	  0.56	0.11	
002292	奥飞娱乐	-0.25	28.31	        190.73亿	      67373.04	    63.30	影视音像	 -406.7万	0.00	          1.01	28.30	28.59	28.20	28.38	   2661	192121344	  0.93	-0.07	
002238	天威视讯	1.04	14.55	         81.10亿	      55741.32	    28.47	影视音像	   0.00	0.00	          0.47	14.40	14.60	14.27	14.40	   1705	37891912	  0.90	0.15	
002143	印纪传媒	-0.38	26.31	         59.16亿	      22486.58	    55.95	影视音像	  102.3万	-0.11	          0.39	26.41	26.50	26.20	26.41	    613	23114590	  0.53	-0.10	
002071	长城影视	--  	13.64	         43.82亿	      32124.85	    55.80	影视音像	--  	--  	          0.00	--  	--  	--  	13.64	      0	0	  0.00	--  	
000917	电广传媒	-0.55	16.36	        173.76亿	     106209.43	    85.85	影视音像	  -1038万	0.12	          1.31	16.42	16.51	16.25	16.45	   2714	228478448	  0.73	-0.09	
000835	长城动漫	0.47	14.85	         44.98亿	      30289.50	--  	影视音像	  571.7万	0.20	          2.65	14.72	14.95	14.50	14.78	   2322	118314936	  0.63	0.07	
000673	当代东方	2.45	12.95	         53.70亿	      41467.71	   164.46	影视音像	   1110万	0.23	          4.31	12.60	13.06	12.53	12.64	   2657	229385760	  1.05	0.31	
000665	湖北广电	-0.20	15.22	         70.17亿	      46107.01	    25.19	影视音像	  228.3万	0.00	          0.65	15.22	15.27	15.08	15.25	   1393	45645300	  0.73	-0.03	
000156	华数传媒	-0.43	18.50	        183.82亿	      99362.43	    44.89	影视音像	   17.0万	0.10	          0.25	18.58	18.67	18.36	18.58	   1123	45084312	  0.71	-0.08	
603999	读者传媒	-2.59	44.45	         32.00亿	       7200.00	   200.31	出版业	   2637万	-0.60	         19.87	44.06	47.88	43.20	45.63	   2676	651684160	  0.79	-1.18	
601999	出版传媒	-2.45	11.95	         65.83亿	      55091.46	    65.18	出版业	 -448.5万	0.16	          1.03	12.24	12.24	11.91	12.25	   1157	68235648	  0.74	-0.30	
601928	凤凰传媒	-0.54	11.03	        280.70亿	     254490.00	    18.84	出版业	  -1337万	-0.09	          0.29	11.07	11.08	10.98	11.09	   1122	80085032	  0.82	-0.06	
601900	南方传媒	0.00	17.54	         29.66亿	      16910.00	    38.02	出版业	   0.00	0.00	          0.00	--  	--  	--  	17.54	      1	0	  0.00	0.00	
601811	新华文轩	-1.16	24.79	         24.47亿	       9871.00	    43.69	出版业	 -502.1万	0.04	          4.91	24.85	25.07	24.58	25.08	   1831	119856768	  0.68	-0.29	
601801	皖新传媒	-1.08	14.72	        267.90亿	     182000.00	    30.50	出版业	  -26.8万	0.54	          0.41	14.63	14.84	14.46	14.88	   1514	109454392	  0.58	-0.16	
601098	中南传媒	0.44	18.37	        329.93亿	     179600.00	    19.63	出版业	  451.8万	0.00	          0.14	18.28	18.49	18.24	18.29	    842	45472044	  0.83	0.08	
600825	新华传媒	0.75	9.35	         97.70亿	     104488.78	   188.91	出版业	   1086万	0.21	          1.53	9.23	9.43	9.21	9.28	   1522	148902944	  1.72	0.07	
600757	长江传媒	-0.80	8.65	        104.97亿	     121349.71	    17.44	出版业	 -224.4万	-0.23	          0.63	8.71	8.74	8.51	8.72	   1755	66642772	  0.89	-0.07	
600633	浙报传媒	0.67	14.94	        177.53亿	     118828.75	    29.10	出版业	   1058万	0.26	          0.49	14.86	15.05	14.80	14.84	   1160	87047664	  1.26	0.10	
600551	时代出版	0.25	20.20	        102.18亿	      50582.53	    21.76	出版业	   43.8万	-0.14	          0.61	20.16	20.24	19.87	20.15	    913	61943404	  0.75	0.05	
600373	中文传媒	1.23	23.86	        301.57亿	     126393.43	    25.91	出版业	 -187.8万	0.37	          0.36	23.69	23.98	23.57	23.57	   2089	107721520	  1.12	0.29	
600229	城市传媒	0.49	12.33	         52.99亿	      42977.21	    36.77	出版业	  -1075万	-0.08	          1.70	12.24	12.39	12.15	12.27	   1464	89740592	  1.10	0.06	
300364	中文在线	0.40	47.23	         63.04亿	      13346.75	   859.22	出版业	  490.2万	-0.04	          2.29	47.04	47.85	47.04	47.04	   1958	144516000	  1.00	0.19	
300148	天舟文化	-1.22	19.42	         98.23亿	      50582.87	    87.33	出版业	  -1329万	0.15	          0.89	19.51	19.80	19.17	19.66	   1099	87299560	  0.69	-0.24	
002181	粤 传 媒	-0.48	8.25	         94.12亿	     114086.52	--  	出版业	  110.2万	0.12	          0.83	8.27	8.29	8.16	8.29	   1712	77484344	  0.90	-0.04	
000793	华闻传媒	-0.91	10.87	        198.65亿	     182749.75	    33.99	出版业	  -2048万	0.09	          0.81	10.91	10.97	10.75	10.97	   2073	159582352	  0.75	-0.10	
000719	大地传媒	--  	11.06	         73.79亿	      66714.75	    17.86	出版业	--  	--  	          0.00	--  	--  	--  	11.06	      0	0	  0.00	--  	
000504	*ST生物	-0.33	15.08	         46.85亿	      31067.32	--  	出版业	 -377.7万	-0.19	          0.64	15.13	15.33	14.80	15.13	    937	30011574	  0.47	-0.05	
600753	东方银星	3.80	32.74	         41.91亿	      12800.00	--  	批发业	   1521万	0.30	          4.99	31.54	32.96	31.25	31.54	   2029	206168944	  1.25	1.20	
300538	同益股份	-2.91	98.05	         13.73亿	       1400.00	   170.35	批发业	  -3143万	-0.35	         27.51	99.13	103.50	98.01	100.99	   3039	385280672	  0.81	-2.94	
002441	众业达	-0.35	14.25	         44.86亿	      31477.94	    45.57	批发业	 -456.4万	-0.27	          0.83	14.34	14.37	14.21	14.30	   1353	37384752	  1.01	-0.05	
000906	物产中拓	0.52	13.47	         44.53亿	      33060.57	    37.71	批发业	   43.4万	0.00	          0.76	13.32	13.52	13.32	13.40	   1703	33710540	  0.68	0.07	
000652	泰达股份	0.33	6.10	         89.41亿	     146567.31	   140.20	批发业	 -907.7万	0.00	          3.88	6.00	6.27	5.96	6.08	   3921	348587456	  1.16	0.02	
000638	万方发展	-2.47	18.58	         57.49亿	      30940.00	   804.25	批发业	  -2587万	0.05	          3.27	18.94	19.11	18.40	19.05	   3036	188581360	  0.75	-0.47	
000587	金洲慈航	0.71	15.50	         86.35亿	      55708.46	    16.82	批发业	 -156.4万	-0.19	          0.85	15.34	15.56	15.25	15.39	   2476	72740192	  0.91	0.11	
600790	轻纺城	-0.15	6.82	         71.40亿	     104699.35	    16.95	商品城	 -310.6万	0.00	          1.30	6.81	6.87	6.73	6.83	   1492	92616048	  0.89	-0.01	
600415	小商品城	-0.49	8.20	        446.34亿	     544321.44	    38.85	商品城	 -487.7万	0.00	          0.58	8.20	8.35	8.14	8.24	   2543	260279216	  0.69	-0.04	
002344	海宁皮城	-0.94	10.56	        116.78亿	     110585.93	    15.39	商品城	 -652.3万	-0.09	          0.80	10.62	10.67	10.43	10.66	   1691	93073240	  0.76	-0.10	
603777	来伊份	10.01	20.33	         12.20亿	       6000.00	    45.65	其他商业	   0.00	0.00	          0.02	20.33	20.33	20.33	18.48	     16	262033	0.00	1.85	
600122	宏图高科	-1.22	12.14	        139.18亿	     114647.34	    50.11	其他商业	  -1215万	-0.08	          1.09	12.31	12.34	12.12	12.29	   2106	151629952	  0.68	-0.15	
300022	吉峰农机	0.33	9.22	         29.50亿	      31994.28	    73.42	其他商业	 -142.4万	0.00	          3.53	9.23	9.28	9.07	9.19	   2300	103454496	  0.64	0.03	
002780	三夫户外	10.01	95.87	         16.30亿	       1700.00	   481.10	其他商业	  -4679万	0.00	         38.20	88.29	95.87	88.29	87.15	   2753	599528320	  1.48	8.72	
002556	辉隆股份	-0.22	8.88	         61.96亿	      69778.32	    36.77	其他商业	 -409.9万	0.11	          0.87	8.89	8.89	8.80	8.90	   1373	53551840	  0.86	-0.02	
000829	天音控股	--  	11.28	        106.80亿	      94679.65	--  	其他商业	--  	--  	          0.00	--  	--  	--  	11.28	      0	0	  0.00	--  	
000026	飞亚达Ａ	-2.29	13.22	         41.12亿	      31107.00	    47.93	其他商业	 -494.1万	0.07	          2.72	13.53	13.58	13.13	13.53	   2262	112190104	  0.78	-0.31	
603939	益丰药房	-0.74	33.61	         52.43亿	      15600.79	    54.37	医药商业	 -253.8万	0.00	          0.31	33.90	33.90	33.47	33.86	    437	16293611	  1.35	-0.25	
603883	老百姓	0.00	50.32	         42.33亿	       8412.32	    46.38	医药商业	   0.00	0.00	          0.00	--  	--  	--  	50.32	      1	0	  0.00	0.00	
603368	柳州医药	0.45	80.22	         46.03亿	       5738.39	    38.74	医药商业	   16.9万	0.13	          1.83	79.70	80.50	79.70	79.86	   1548	84009312	  0.97	0.36	
603108	润达医疗	1.09	32.58	         40.16亿	      12325.54	    94.67	医药商业	 -104.9万	0.09	          1.19	32.05	32.64	32.00	32.23	    874	47273820	  0.49	0.35	
601607	上海医药	0.85	20.17	        387.86亿	     192293.50	    15.65	医药商业	 -327.4万	0.24	          0.32	20.02	20.18	19.96	20.00	   1875	123348632	  0.80	0.17	
600998	九州通	-1.15	21.41	        308.74亿	     144201.92	    56.86	医药商业	 -127.1万	0.04	          0.16	21.70	21.70	21.15	21.66	    983	48002648	  0.65	-0.25	
600833	第一医药	0.77	18.35	         40.94亿	      22308.63	    84.89	医药商业	 -307.8万	0.00	          0.86	18.22	18.38	18.13	18.21	    796	35220720	  0.53	0.14	
600829	人民同泰	4.04	14.92	         86.52亿	      57988.85	    34.46	医药商业	   2260万	0.40	          1.12	14.37	14.98	14.21	14.34	    932	95797968	  3.67	0.58	
600713	南京医药	-1.34	8.86	         61.45亿	      69358.07	    48.84	医药商业	  -1182万	0.00	          1.08	8.90	8.93	8.74	8.98	   1109	66296976	  1.15	-0.12	
600511	国药股份	-0.09	31.61	         87.76亿	      27764.33	    25.91	医药商业	 -924.7万	0.06	          0.85	31.88	31.88	31.22	31.64	   1622	74256144	  0.95	-0.03	
600090	同济堂	-0.08	12.94	         47.61亿	      36791.66	    53.29	医药商业	 -412.1万	0.00	          0.78	13.03	13.03	12.66	12.95	   1102	36562096	  1.07	-0.01	
600056	中国医药	1.90	20.37	        206.17亿	     101213.60	    20.23	医药商业	 -171.7万	0.09	          0.70	19.99	20.38	19.83	19.99	   1860	143676976	  1.22	0.38	
002788	鹭燕医药	1.33	59.23	         18.98亿	       3205.00	    69.70	医药商业	  217.3万	0.03	          6.59	58.24	59.35	57.71	58.45	   2108	123826936	  1.19	0.78	
002758	华通医药	-1.58	31.70	         25.18亿	       7941.79	   108.90	医药商业	 -914.0万	-0.03	          2.41	32.10	32.10	31.51	32.21	   1348	60634596	  0.69	-0.51	
002727	一心堂	-1.10	22.40	         44.88亿	      20037.43	    29.70	医药商业	 -232.7万	-0.04	          0.89	22.52	22.52	22.28	22.65	   1498	39946604	  0.77	-0.25	
002589	瑞康医药	-0.80	34.70	        104.18亿	      30022.06	    52.26	医药商业	  328.9万	-0.23	          0.57	34.85	35.09	34.11	34.98	   1153	59317888	  0.52	-0.28	
002462	嘉事堂	--  	42.53	        101.56亿	      23879.15	    45.93	医药商业	--  	--  	          0.00	--  	--  	--  	42.53	      0	0	  0.00	--  	
000705	浙江震元	1.62	15.02	         42.35亿	      28194.22	    96.09	医药商业	   2213万	0.00	          5.10	14.70	15.10	14.53	14.78	   3257	213569632	  1.44	0.24	
000411	英特集团	4.77	24.16	         50.09亿	      20731.41	    62.36	医药商业	   54.4万	0.16	          2.56	22.88	25.30	22.65	23.06	   1869	127048304	  2.80	1.10	
000028	国药一致	0.11	71.87	        167.65亿	      23326.17	    24.04	医药商业	 -553.4万	0.01	          0.42	71.70	72.26	71.11	71.79	   1184	71075304	  0.94	0.08	
600898	三联商社	-3.76	15.89	         40.13亿	      25252.38	   261.84	电器连锁	  -1831万	0.00	          4.40	16.50	16.59	15.79	16.51	   1840	177630240	  0.56	-0.62	
002416	爱施德	0.13	15.81	        153.57亿	      97135.53	    89.55	电器连锁	  421.7万	0.00	          0.53	15.78	15.88	15.69	15.79	   1935	81925080	  0.78	0.02	
002024	苏宁云商	-0.18	11.07	        555.47亿	     501781.50	--  	电器连锁	  -4035万	0.00	          0.42	11.08	11.12	11.02	11.09	   2938	232051008	  0.70	-0.02	
601933	永辉超市	-0.66	4.52	        294.20亿	     650887.13	    32.30	超市连锁	  -1312万	-0.22	          0.26	4.54	4.55	4.50	4.55	   1364	75684320	  0.73	-0.03	
601116	三江购物	0.25	12.16	         48.87亿	      40189.30	    49.65	超市连锁	  -61.0万	0.16	          0.48	12.15	12.24	12.00	12.13	    617	23478580	  1.34	0.03	
601010	文峰股份	0.58	5.21	         96.28亿	     184800.00	    32.38	超市连锁	  808.7万	0.19	          0.65	5.17	5.25	5.15	5.18	   1380	62460212	  1.57	0.03	
600827	百联股份	-0.47	12.60	        194.39亿	     154277.75	    16.25	超市连锁	 -646.1万	0.00	          0.34	12.63	12.65	12.48	12.66	   1225	66492132	  1.04	-0.06	
600361	华联综超	-0.44	6.78	         45.14亿	      66580.78	--  	超市连锁	 -394.6万	0.14	          0.74	6.81	6.83	6.71	6.81	    761	33094044	  0.73	-0.03	
002697	红旗连锁	-0.34	5.88	         43.01亿	      73139.97	    39.14	超市连锁	  -35.8万	0.17	          0.94	5.91	5.91	5.84	5.90	   1222	40372716	  0.83	-0.02	
002336	*ST人乐	-1.19	11.62	         39.42亿	      33925.00	   142.34	超市连锁	 -229.5万	-0.17	          0.74	11.79	11.80	11.56	11.76	    731	29030020	  0.95	-0.14	
002264	新 华 都	0.11	9.37	         50.39亿	      53782.64	    65.83	超市连锁	   32.8万	0.00	          0.84	9.35	9.38	9.23	9.36	   1165	42177336	  0.77	0.01	
002251	步 步 高	2.84	15.22	         98.86亿	      64954.21	    34.43	超市连锁	   1856万	0.13	          2.78	14.80	15.25	14.54	14.80	   2611	270041760	  1.00	0.42	
000759	中百集团	0.26	7.79	         53.02亿	      68057.90	--  	超市连锁	   0.00	-0.12	          0.36	7.74	7.82	7.70	7.77	    536	18848872	  0.90	0.02	
603123	翠微股份	-0.30	10.05	         37.02亿	      36839.48	    57.84	百货	 -251.9万	0.00	          1.00	10.11	10.15	9.88	10.08	    836	36986796	  0.91	-0.03	
603101	汇嘉时代	-0.68	24.76	         14.86亿	       6000.00	    77.73	百货	  -76.5万	0.12	          3.25	24.82	25.10	24.61	24.93	   1250	48289700	  0.89	-0.17	
603031	安德利	-0.66	63.69	         12.74亿	       2000.00	   116.99	百货	 -708.6万	0.14	         19.30	63.42	63.89	62.86	64.11	   2262	244528032	  0.58	-0.42	
600891	秋林集团	-0.68	10.29	         33.35亿	      32413.49	    22.28	百货	 -121.7万	0.00	          1.16	10.33	10.42	10.26	10.36	   1254	38792752	  0.68	-0.07	
600865	百大集团	-0.95	12.52	         47.11亿	      37624.03	    39.39	百货	 -211.8万	-0.15	          0.92	12.64	12.67	12.48	12.64	    877	43436352	  0.74	-0.12	
600861	北京城乡	3.67	15.82	         50.12亿	      31680.49	    61.83	百货	   1385万	0.38	          3.56	15.27	15.86	15.25	15.26	   1645	176399840	  1.51	0.56	
600859	王府井	0.00	16.28	         97.94亿	      60159.85	    18.60	百货	   0.00	0.00	          0.00	--  	--  	--  	16.28	      1	0	  0.00	0.00	
600858	银座股份	0.00	8.89	         46.01亿	      51754.80	    41.90	百货	    5.0万	0.45	          0.47	8.86	8.91	8.77	8.89	    762	21378468	  0.60	0.00	
600857	宁波中百	-0.13	15.00	         33.65亿	      22431.99	    64.24	百货	  310.8万	0.73	          0.92	14.92	15.01	14.73	15.02	    974	30642782	  0.56	-0.02	
600838	上海九百	0.96	16.82	         67.43亿	      40088.19	    23.69	百货	 -125.2万	-0.17	          5.67	16.63	16.95	16.40	16.66	   2437	380888832	  0.81	0.16	
600828	茂业商业	0.27	7.55	         43.02亿	      56981.73	    19.42	百货	  -77.5万	0.39	          0.77	7.53	7.56	7.42	7.53	   1054	32619628	  0.68	0.02	
600824	益民集团	0.45	6.70	         70.62亿	     105402.71	    37.55	百货	   61.0万	0.14	          0.40	6.65	6.72	6.59	6.67	    809	27782670	  0.70	0.03	
600821	津劝业	9.97	11.03	         45.91亿	      41626.82	  1102.81	百货	  -2.16亿	0.00	         19.97	10.93	11.03	10.40	10.03	   1614	907089664	  3.85	1.00	
600814	杭州解百	0.20	9.78	         30.36亿	      31038.30	    31.74	百货	 -894.1万	0.10	          1.44	9.76	9.78	9.62	9.76	    835	43351048	  0.93	0.02	
600785	新华百货	-1.67	25.92	         53.77亿	      20743.13	    76.99	百货	  -94.3万	0.00	          0.42	26.10	26.39	25.79	26.36	    782	22398972	  0.70	-0.44	
600778	友好集团	1.99	10.77	         33.50亿	      31108.66	--  	百货	  538.4万	-0.18	          2.70	10.56	10.95	10.52	10.56	   1549	90558056	  1.67	0.21	
600774	汉商集团	-0.87	19.28	         33.63亿	      17442.90	   314.44	百货	 -447.2万	-0.36	          1.44	19.38	19.60	19.12	19.45	    882	48604840	  0.87	-0.17	
600738	兰州民百	-0.42	9.42	         34.68亿	      36819.85	    43.38	百货	  -36.0万	0.00	          1.11	9.40	9.45	9.30	9.46	   1077	38384024	  0.76	-0.04	
